timestamp,fastq,n_reads,n_alignments,map_rate,accuracy_median,expected_median,delta_vs_expected,nsys_pulled,reference
2026-07-21T14:51:57.394804+00:00,output_fast_1k_overlap-overlap-v1.0.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,nsys_fast_1k_overlap-overlap-v1.0.nsys-rep,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-21T14:52:19.372752+00:00,output_fast_20k_overlap-overlap-v1.0.fastq,20000,20727,103.6%,0.939375,-,-,nsys_fast_20k_overlap-overlap-v1.0.nsys-rep,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-21T14:52:29.985920+00:00,output_hac_1k_overlap-overlap-v1.0.fastq,1000,1105,110.5%,0.976852,0.976852,-0.000000,nsys_hac_1k_overlap-overlap-v1.0.nsys-rep,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-21T14:52:54.924437+00:00,output_hac_20k_overlap-overlap-v1.0.fastq,20000,22274,111.4%,0.977333,-,-,nsys_hac_20k_overlap-overlap-v1.0.nsys-rep,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
