08-11-2026 23:05:07 RAM 4539/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,2%@729,8%@729,3%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@56.875C soc2@55.718C soc0@56.593C gpu@57.625C tj@57.625C soc1@55.937C VDD_IN 14357mW/11748mW VDD_CPU_GPU_CV 5982mW/4568mW VDD_SOC 3711mW/2947mW
08-11-2026 23:05:08 RAM 4541/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,6%@729,3%@729,1%@729,0%@729,2%@729] GR3D_FREQ 99% cpu@56.593C soc2@55.812C soc0@56.75C gpu@57.687C tj@57.687C soc1@56.062C VDD_IN 14492mW/11909mW VDD_CPU_GPU_CV 6100mW/4658mW VDD_SOC 3751mW/2995mW
08-11-2026 23:05:09 RAM 4543/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [0%@729,8%@729,2%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@56.562C soc2@55.812C soc0@56.718C gpu@57.781C tj@57.781C soc1@56C VDD_IN 14396mW/12048mW VDD_CPU_GPU_CV 6100mW/4739mW VDD_SOC 3672mW/3032mW
08-11-2026 23:05:10 RAM 4546/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [7%@729,11%@729,7%@729,3%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@56.812C soc2@55.843C soc0@56.562C gpu@57.375C tj@57.5C soc1@55.968C VDD_IN 14040mW/12152mW VDD_CPU_GPU_CV 5864mW/4798mW VDD_SOC 3593mW/3062mW
08-11-2026 23:05:11 RAM 4547/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,5%@729,11%@729,16%@729,0%@729,1%@729] GR3D_FREQ 98% cpu@56.812C soc2@55.906C soc0@56.781C gpu@58C tj@58C soc1@56.031C VDD_IN 14238mW/12257mW VDD_CPU_GPU_CV 5904mW/4853mW VDD_SOC 3672mW/3092mW
08-11-2026 23:05:12 RAM 4547/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,2%@729,9%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.218C soc2@56.031C soc0@56.781C gpu@58.093C tj@58.093C soc1@56.125C VDD_IN 14452mW/12361mW VDD_CPU_GPU_CV 6061mW/4911mW VDD_SOC 3711mW/3122mW
08-11-2026 23:05:13 RAM 4549/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,1%@729,10%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@56.75C soc2@55.937C soc0@56.875C gpu@58.25C tj@58.25C soc1@56.218C VDD_IN 14571mW/12462mW VDD_CPU_GPU_CV 6140mW/4966mW VDD_SOC 3711mW/3149mW
08-11-2026 23:05:14 RAM 4550/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,2%@729,9%@729,2%@729,1%@729,0%@729] GR3D_FREQ 99% cpu@56.781C soc2@55.937C soc0@57C gpu@57.843C tj@57.843C soc1@56.156C VDD_IN 14120mW/12534mW VDD_CPU_GPU_CV 5864mW/5005mW VDD_SOC 3593mW/3168mW
08-11-2026 23:05:15 RAM 4552/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,5%@729,5%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@57.125C soc2@56C soc0@56.843C gpu@58.093C tj@58.093C soc1@56.187C VDD_IN 14199mW/12603mW VDD_CPU_GPU_CV 5864mW/5041mW VDD_SOC 3672mW/3189mW
08-11-2026 23:05:16 RAM 4559/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [5%@729,8%@729,7%@729,8%@729,16%@729,1%@729] GR3D_FREQ 99% cpu@56.968C soc2@56.031C soc0@56.937C gpu@58C tj@58C soc1@56.156C VDD_IN 14492mW/12679mW VDD_CPU_GPU_CV 6100mW/5084mW VDD_SOC 3711mW/3210mW
