config,phase,run,real_s,cpu_s,peak_ram_gb,status,attempts,nsight,fastq,note
FAST 1k,accuracy,,10.710000,4.947000,3.839000,ok,1,yes,output_fast_1k_overlap-overlap-v1.0.fastq,
FAST 1k,timed,1,10.355000,4.188000,3.651000,ok,1,no,,
FAST 1k,timed,2,10.358000,4.188000,3.651000,ok,1,no,,
FAST 1k,timed,3,10.376000,4.210000,3.646000,ok,1,no,,
FAST 1k,timed,4,10.374000,4.177000,3.643000,ok,1,no,,
FAST 1k,timed,5,10.352000,4.199000,3.644000,ok,1,no,,
FAST 1k,timed,6,10.396000,4.209000,3.640000,ok,1,no,,
FAST 1k,timed,7,10.303000,4.144000,3.647000,ok,1,no,,
FAST 1k,timed,8,10.374000,4.187000,3.652000,ok,1,no,,
FAST 1k,timed,9,10.362000,4.147000,3.649000,ok,1,no,,
FAST 1k,timed,10,10.428000,4.182000,3.651000,ok,1,no,,
HAC 1k,accuracy,,46.976000,51.177000,4.579000,ok,1,yes,output_hac_1k_overlap-overlap-v1.0.fastq,
HAC 1k,timed,1,45.906000,43.977000,4.269000,ok,1,no,,
HAC 1k,timed,2,45.522000,43.762000,4.270000,ok,1,no,,
HAC 1k,timed,3,45.827000,43.988000,4.267000,ok,1,no,,
HAC 1k,timed,4,45.335000,43.547000,4.271000,ok,1,no,,
HAC 1k,timed,5,45.759000,43.922000,4.274000,ok,1,no,,
HAC 1k,timed,6,45.267000,43.507000,4.268000,ok,1,no,,
HAC 1k,timed,7,45.788000,43.991000,4.270000,ok,1,no,,
HAC 1k,timed,8,45.549000,43.773000,4.268000,ok,1,no,,
HAC 1k,timed,9,45.795000,43.964000,4.268000,ok,1,no,,
HAC 1k,timed,10,45.337000,43.524000,4.272000,ok,1,no,,
FAST 20k,accuracy,,183.012000,44.048000,5.651000,ok,1,yes,output_fast_20k_overlap-overlap-v1.0.fastq,
FAST 20k,timed,1,180.511000,39.517000,5.556000,ok,1,no,,
FAST 20k,timed,2,179.518000,39.246000,5.519000,ok,1,no,,
FAST 20k,timed,3,179.344000,39.144000,5.607000,ok,1,no,,
HAC 20k,accuracy,,927.273000,999.651000,6.420000,ok,1,yes,output_hac_20k_overlap-overlap-v1.0.fastq,
HAC 20k,timed,1,879.164000,827.180000,6.176000,ok,1,no,,
HAC 20k,timed,2,881.614000,829.772000,6.100000,ok,1,no,,
HAC 20k,timed,3,880.736000,827.472000,5.852000,ok,1,no,,
