config,phase,run,real_s,cpu_s,peak_ram_gb,status,attempts,nsight,fastq,note
FAST 1k,accuracy,,12.018000,4.821000,2.815000,ok,1,yes,output_fast_1k-baseline-v1.0.fastq,
FAST 1k,timed,1,11.456000,3.968000,2.614000,ok,1,no,,
FAST 1k,timed,2,12.367000,3.951000,2.617000,ok,1,no,,
FAST 1k,timed,3,11.528000,3.960000,2.618000,ok,1,no,,
FAST 1k,timed,4,11.366000,3.988000,2.613000,ok,1,no,,
FAST 1k,timed,5,11.405000,3.996000,2.611000,ok,1,no,,
FAST 1k,timed,6,11.351000,3.962000,2.618000,ok,1,no,,
FAST 1k,timed,7,11.389000,3.960000,2.611000,ok,1,no,,
FAST 1k,timed,8,11.363000,3.968000,2.609000,ok,1,no,,
FAST 1k,timed,9,11.383000,3.998000,2.612000,ok,1,no,,
FAST 1k,timed,10,11.391000,3.984000,2.615000,ok,1,no,,
HAC 1k,accuracy,,48.166000,40.455000,4.076000,ok,1,yes,output_hac_1k-baseline-v1.0.fastq,
HAC 1k,timed,1,46.359000,31.685000,3.761000,ok,1,no,,
HAC 1k,timed,2,46.559000,31.838000,3.761000,ok,1,no,,
HAC 1k,timed,3,46.556000,31.830000,3.760000,ok,1,no,,
HAC 1k,timed,4,46.707000,31.949000,3.761000,ok,1,no,,
HAC 1k,timed,5,46.510000,31.758000,3.765000,ok,1,no,,
HAC 1k,timed,6,46.386000,31.698000,3.767000,ok,1,no,,
HAC 1k,timed,7,46.403000,31.781000,3.764000,ok,1,no,,
HAC 1k,timed,8,46.549000,31.880000,3.764000,ok,1,no,,
HAC 1k,timed,9,46.589000,31.848000,3.760000,ok,1,no,,
HAC 1k,timed,10,46.567000,31.883000,3.764000,ok,1,no,,
FAST 20k,accuracy,,209.838000,48.751000,4.751000,ok,1,yes,output_fast_20k-baseline-v1.0.fastq,
FAST 20k,timed,1,204.053000,41.524000,4.499000,ok,1,no,,
FAST 20k,timed,2,203.496000,41.514000,4.550000,ok,1,no,,
FAST 20k,timed,3,203.507000,41.326000,4.474000,ok,1,no,,
HAC 20k,accuracy,,951.854000,779.077000,6.386000,ok,1,yes,output_hac_20k-baseline-v1.0.fastq,
HAC 20k,timed,1,900.684000,588.488000,5.658000,ok,1,no,,
HAC 20k,timed,2,904.467000,592.816000,5.655000,ok,1,no,,
HAC 20k,timed,3,903.808000,591.983000,5.669000,ok,1,no,,
