config,phase,run,real_s,cpu_s,peak_ram_gb,status,attempts,nsight,fastq,note
FAST 1k,accuracy,,11.857000,4.771000,2.820000,ok,1,yes,output_fast_1k-baseline-v1.2.fastq,
FAST 1k,timed,1,11.461000,3.964000,2.611000,ok,1,no,,
FAST 1k,timed,2,11.413000,3.931000,2.607000,ok,1,no,,
FAST 1k,timed,3,11.433000,3.989000,2.616000,ok,1,no,,
FAST 1k,timed,4,11.376000,3.938000,2.610000,ok,1,no,,
FAST 1k,timed,5,11.424000,4.012000,2.611000,ok,1,no,,
FAST 1k,timed,6,11.371000,3.982000,2.617000,ok,1,no,,
FAST 1k,timed,7,11.380000,3.954000,2.618000,ok,1,no,,
FAST 1k,timed,8,11.407000,3.928000,2.609000,ok,1,no,,
FAST 1k,timed,9,11.368000,3.972000,2.612000,ok,1,no,,
FAST 1k,timed,10,11.405000,3.946000,2.610000,ok,1,no,,
HAC 1k,accuracy,,48.220000,39.803000,4.071000,ok,1,yes,output_hac_1k-baseline-v1.2.fastq,
HAC 1k,timed,1,46.715000,31.909000,3.766000,ok,1,no,,
HAC 1k,timed,2,46.523000,31.772000,3.761000,ok,1,no,,
HAC 1k,timed,3,46.356000,31.709000,3.760000,ok,1,no,,
HAC 1k,timed,4,46.569000,31.823000,3.766000,ok,1,no,,
HAC 1k,timed,5,46.483000,31.742000,3.762000,ok,1,no,,
HAC 1k,timed,6,46.782000,31.934000,3.766000,ok,1,no,,
HAC 1k,timed,7,46.695000,31.956000,3.770000,ok,1,no,,
HAC 1k,timed,8,46.660000,31.964000,3.762000,ok,1,no,,
HAC 1k,timed,9,46.468000,31.707000,3.771000,ok,1,no,,
HAC 1k,timed,10,46.544000,31.858000,3.775000,ok,1,no,,
FAST 20k,accuracy,,210.795000,48.748000,4.701000,ok,1,yes,output_fast_20k-baseline-v1.2.fastq,
FAST 20k,timed,1,203.929000,41.403000,4.514000,ok,1,no,,
FAST 20k,timed,2,203.810000,41.333000,4.464000,ok,1,no,,
FAST 20k,timed,3,204.160000,41.392000,4.511000,ok,1,no,,
HAC 20k,accuracy,,954.331000,781.186000,6.062000,ok,1,yes,output_hac_20k-baseline-v1.2.fastq,
HAC 20k,timed,1,903.026000,591.062000,5.538000,ok,1,no,,
HAC 20k,timed,2,900.976000,589.169000,5.628000,ok,1,no,,
HAC 20k,timed,3,898.913000,588.066000,5.599000,ok,1,no,,
