timestamp,fastq,n_reads,n_alignments,map_rate,accuracy_median,expected_median,delta_vs_expected,nsys_pulled,reference
2026-07-21T15:15:16.865034+00:00,output_fast_1k-baseline-v1.2.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-21T15:15:48.373430+00:00,output_fast_20k-baseline-v1.2.fastq,20000,20727,103.6%,0.939375,-,-,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-21T15:16:20.914823+00:00,output_hac_1k-baseline-v1.2.fastq,1000,1105,110.5%,0.976852,0.976852,-0.000000,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-21T15:16:56.246382+00:00,output_hac_20k-baseline-v1.2.fastq,20000,22274,111.4%,0.977333,-,-,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
