label,model,size,git_commit,git_branch,nvpmodel,wall_s,n_samples,dt_s,power_total_source,peak_power_mW,mean_power_mW,min_power_mW,energy_J,energy_Wh,peak_ram_mb,peak_swap_mb,peak_gr3d_pct,mean_gr3d_pct,command,max_temp_cpu_C,max_temp_gpu_C,max_temp_soc0_C,max_temp_soc1_C,max_temp_soc2_C,max_temp_tj_C
ov_off,fast,1k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,12.356,15,1.0,VDD_IN,14476,11168.4,5136,167.526,0.046535,3508,1424,99.0,62.4,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=no -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,50.12,51.53,49.59,49.12,48.56,51.53
ov_on,fast,1k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,10.234,12,1.0,VDD_IN,15966,12629.75,5288,151.557,0.042099,4627,1423,99.0,66.0,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,51.38,52.78,51.0,50.25,49.97,52.78
ov_off,hac,1k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,46.587,48,1.0,VDD_IN,17593,16134,5288,774.432,0.21512,4769,1422,99.0,90.21,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=no -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,57.0,58.06,56.62,55.75,55.81,58.06
ov_on,hac,1k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,45.110,47,1.0,VDD_IN,17840,16562.91489361702,5096,778.457,0.216238,5312,1407,99.0,89.66,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,59.19,60.69,58.88,58.06,58.19,60.69
ov_off,fast,20k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,206.102,207,1.0,VDD_IN,14847,13667.652173913044,5176,2829.204,0.78589,5563,1403,100.0,88.69,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=no -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,59.06,60.19,58.94,58.19,58.0,60.19
ov_on,fast,20k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,174.192,175,1.0,VDD_IN,16413,15134.902857142857,5176,2648.608,0.735724,6626,1376,99.0,94.31,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,60.34,61.72,60.19,59.34,59.38,61.72
ov_off,hac,20k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,902.478,900,1.0,VDD_IN,18164,17049.984444444446,5176,15344.986,4.262496,6781,1375,99.0,95.87,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=no -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,63.56,64.84,63.06,62.06,62.31,64.84
ov_on,hac,20k,7cec6c5,HEAD,NV Power Mode: 25W 1 ,875.174,874,1.0,VDD_IN,18517,17537.644164759724,5216,15327.901,4.25775,7292,1523,99.0,96.57,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,63.91,65.16,63.25,62.31,62.59,65.28
