08-11-2026 21:15:48 RAM 6318/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [3%@729,2%@729,6%@729,2%@729,93%@1344,0%@1344] GR3D_FREQ 97% cpu@60.687C soc2@59.687C soc0@60.437C gpu@61.875C tj@61.875C soc1@59.531C VDD_IN 17604mW/13272mW VDD_CPU_GPU_CV 8368mW/5791mW VDD_SOC 4040mW/3042mW
08-11-2026 21:15:49 RAM 6318/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [43%@1344,2%@1344,3%@1344,5%@1344,50%@729,1%@729] GR3D_FREQ 98% cpu@60.687C soc2@59.812C soc0@60.468C gpu@61.875C tj@61.875C soc1@59.5C VDD_IN 17526mW/13522mW VDD_CPU_GPU_CV 8211mW/5933mW VDD_SOC 4080mW/3103mW
08-11-2026 21:15:50 RAM 6318/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [92%@1344,1%@1344,2%@1344,5%@1344,0%@729,1%@729] GR3D_FREQ 97% cpu@60.875C soc2@59.812C soc0@60.5C gpu@61.937C tj@61.937C soc1@59.75C VDD_IN 17486mW/13742mW VDD_CPU_GPU_CV 8094mW/6053mW VDD_SOC 4119mW/3160mW
08-11-2026 21:15:51 RAM 6318/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [93%@1344,2%@1344,2%@1344,4%@1344,0%@729,0%@729] GR3D_FREQ 97% cpu@60.656C soc2@59.968C soc0@60.562C gpu@61.906C tj@61.906C soc1@59.781C VDD_IN 17486mW/13939mW VDD_CPU_GPU_CV 7899mW/6150mW VDD_SOC 4158mW/3212mW
08-11-2026 21:15:52 RAM 6319/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [92%@1344,4%@1344,11%@1344,8%@1344,3%@729,1%@729] GR3D_FREQ 99% cpu@60.906C soc2@60.093C soc0@60.718C gpu@61.437C tj@61.437C soc1@59.625C VDD_IN 17526mW/14119mW VDD_CPU_GPU_CV 7781mW/6232mW VDD_SOC 4237mW/3263mW
08-11-2026 21:15:53 RAM 6320/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [10%@729,2%@729,3%@729,5%@729,84%@1344,0%@1344] GR3D_FREQ 99% cpu@61C soc2@59.906C soc0@60.718C gpu@62.156C tj@62.156C soc1@59.781C VDD_IN 17329mW/14272mW VDD_CPU_GPU_CV 8250mW/6328mW VDD_SOC 4001mW/3298mW
08-11-2026 21:15:54 RAM 6321/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [1%@729,1%@729,2%@729,4%@729,91%@1344,0%@1344] GR3D_FREQ 99% cpu@60.781C soc2@59.937C soc0@60.656C gpu@62.25C tj@62.25C soc1@59.781C VDD_IN 17447mW/14416mW VDD_CPU_GPU_CV 8407mW/6422mW VDD_SOC 3962mW/3329mW
08-11-2026 21:15:55 RAM 6321/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [5%@729,1%@729,2%@729,2%@729,93%@729,0%@729] GR3D_FREQ 99% cpu@61.187C soc2@60C soc0@60.687C gpu@62.531C tj@62.531C soc1@59.781C VDD_IN 17850mW/14565mW VDD_CPU_GPU_CV 8744mW/6523mW VDD_SOC 4040mW/3360mW
08-11-2026 21:15:56 RAM 6321/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,2%@729,1%@729,4%@729,99%@1344,0%@1344] GR3D_FREQ 97% cpu@60.937C soc2@60.125C soc0@60.843C gpu@62.625C tj@62.625C soc1@59.906C VDD_IN 17722mW/14697mW VDD_CPU_GPU_CV 8784mW/6617mW VDD_SOC 3883mW/3381mW
08-11-2026 21:15:57 RAM 6322/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,2%@729,1%@729,5%@729,93%@1344,0%@1344] GR3D_FREQ 97% cpu@60.937C soc2@60.093C soc0@60.781C gpu@62.187C tj@62.187C soc1@59.812C VDD_IN 17683mW/14816mW VDD_CPU_GPU_CV 8705mW/6701mW VDD_SOC 3923mW/3403mW
08-11-2026 21:15:58 RAM 6326/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [6%@729,8%@729,17%@729,8%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@61.125C soc2@60.093C soc0@60.812C gpu@62.406C tj@62.406C soc1@59.875C VDD_IN 17722mW/14928mW VDD_CPU_GPU_CV 8705mW/6778mW VDD_SOC 3923mW/3423mW
08-11-2026 21:15:59 RAM 6326/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,3%@729,2%@729,1%@729,92%@1344,2%@1344] GR3D_FREQ 98% cpu@61.375C soc2@60.125C soc0@60.843C gpu@62.468C tj@62.468C soc1@59.968C VDD_IN 17683mW/15030mW VDD_CPU_GPU_CV 8627mW/6847mW VDD_SOC 3962mW/3443mW
08-11-2026 21:16:00 RAM 6327/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,2%@729,6%@729,1%@729,93%@1344,4%@1344] GR3D_FREQ 97% cpu@61.218C soc2@60.218C soc0@60.906C gpu@62.437C tj@62.437C soc1@60.093C VDD_IN 17683mW/15125mW VDD_CPU_GPU_CV 8549mW/6907mW VDD_SOC 3962mW/3462mW
08-11-2026 21:16:01 RAM 6327/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,1%@729,3%@729,4%@729,92%@1344,0%@1344] GR3D_FREQ 98% cpu@61C soc2@60.25C soc0@60.968C gpu@62.531C tj@62.531C soc1@59.937C VDD_IN 17643mW/15212mW VDD_CPU_GPU_CV 8510mW/6963mW VDD_SOC 4001mW/3480mW
08-11-2026 21:16:02 RAM 6328/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [1%@883,2%@883,1%@883,1%@883,92%@1344,3%@1344] GR3D_FREQ 97% cpu@61.125C soc2@60.218C soc0@61.031C gpu@62.531C tj@62.531C soc1@60C VDD_IN 17604mW/15291mW VDD_CPU_GPU_CV 8329mW/7008mW VDD_SOC 4040mW/3499mW
08-11-2026 21:16:03 RAM 6328/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [6%@729,9%@729,13%@729,7%@729,91%@1344,0%@1344] GR3D_FREQ 97% cpu@61.406C soc2@60.312C soc0@60.968C gpu@62.468C tj@62.468C soc1@60.031C VDD_IN 17772mW/15371mW VDD_CPU_GPU_CV 8471mW/7055mW VDD_SOC 4080mW/3518mW
08-11-2026 21:16:04 RAM 6328/7607MB (lfb 2x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,3%@729,5%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 98% cpu@61.687C soc2@60.25C soc0@61.062C gpu@62.375C tj@62.375C soc1@60.187C VDD_IN 17565mW/15440mW VDD_CPU_GPU_CV 8094mW/7088mW VDD_SOC 4119mW/3536mW
08-11-2026 21:16:05 RAM 6329/7607MB (lfb 1x2MB) SWAP 1361/16384MB (cached 120MB) CPU [3%@729,2%@729,2%@729,1%@729,92%@1344,2%@1344] GR3D_FREQ 97% cpu@61.406C soc2@60.343C soc0@61.125C gpu@62.468C tj@62.468C soc1@60.375C VDD_IN 17526mW/15503mW VDD_CPU_GPU_CV 8016mW/7116mW VDD_SOC 4158mW/3555mW
08-11-2026 21:16:06 RAM 6329/7607MB (lfb 1x2MB) SWAP 1361/16384MB (cached 120MB) CPU [3%@729,2%@729,5%@729,2%@729,92%@1344,0%@1344] GR3D_FREQ 99% cpu@61.468C soc2@60.406C soc0@61.312C gpu@62.156C tj@62.156C soc1@60.125C VDD_IN 17408mW/15559mW VDD_CPU_GPU_CV 7742mW/7134mW VDD_SOC 4237mW/3575mW
08-11-2026 21:16:07 RAM 6329/7607MB (lfb 1x2MB) SWAP 1361/16384MB (cached 120MB) CPU [2%@729,2%@729,4%@729,1%@729,91%@1344,0%@1344] GR3D_FREQ 99% cpu@61.5C soc2@60.5C soc0@61.25C gpu@62.187C tj@62.375C soc1@60.156C VDD_IN 17368mW/15611mW VDD_CPU_GPU_CV 8133mW/7163mW VDD_SOC 4080mW/3590mW
