config,phase,run,real_s,cpu_s,peak_ram_gb,status,attempts,nsight,fastq,note
FAST 1k,accuracy,,10.410000,4.959000,3.879000,ok,1,yes,output_fast_1k_overlap-overlap-v1.1.fastq,
FAST 1k,timed,1,10.056000,4.134000,3.681000,ok,1,no,,
FAST 1k,timed,2,10.092000,4.156000,3.683000,ok,1,no,,
FAST 1k,timed,3,10.074000,4.156000,3.685000,ok,1,no,,
FAST 1k,timed,4,10.062000,4.218000,3.679000,ok,1,no,,
FAST 1k,timed,5,10.047000,4.135000,3.685000,ok,1,no,,
FAST 1k,timed,6,10.051000,4.144000,3.681000,ok,1,no,,
FAST 1k,timed,7,10.076000,4.145000,3.684000,ok,1,no,,
FAST 1k,timed,8,10.087000,4.182000,3.683000,ok,1,no,,
FAST 1k,timed,9,10.039000,4.161000,3.681000,ok,1,no,,
FAST 1k,timed,10,10.075000,4.209000,3.682000,ok,1,no,,
HAC 1k,accuracy,,46.481000,52.053000,4.612000,ok,1,yes,output_hac_1k_overlap-overlap-v1.1.fastq,
HAC 1k,timed,1,44.847000,43.219000,4.310000,ok,1,no,,
HAC 1k,timed,2,45.004000,43.369000,4.309000,ok,1,no,,
HAC 1k,timed,3,44.909000,43.313000,4.309000,ok,1,no,,
HAC 1k,timed,4,44.944000,43.329000,4.305000,ok,1,no,,
HAC 1k,timed,5,44.922000,43.308000,4.305000,ok,1,no,,
HAC 1k,timed,6,45.066000,43.429000,4.305000,ok,1,no,,
HAC 1k,timed,7,45.010000,43.406000,4.303000,ok,1,no,,
HAC 1k,timed,8,45.019000,43.429000,4.301000,ok,1,no,,
HAC 1k,timed,9,45.084000,43.466000,4.310000,ok,1,no,,
HAC 1k,timed,10,44.892000,43.299000,4.307000,ok,1,no,,
FAST 20k,accuracy,,177.989000,44.775000,5.691000,ok,1,yes,output_fast_20k_overlap-overlap-v1.1.fastq,
FAST 20k,timed,1,176.757000,40.138000,5.535000,ok,1,no,,
FAST 20k,timed,2,174.754000,39.561000,5.556000,ok,1,no,,
FAST 20k,timed,3,175.262000,39.269000,5.545000,ok,1,no,,
HAC 20k,accuracy,,922.765000,1002.481000,6.265000,ok,1,yes,output_hac_20k_overlap-overlap-v1.1.fastq,
HAC 20k,timed,1,875.999000,826.819000,6.044000,ok,1,no,,
HAC 20k,timed,2,875.083000,825.879000,6.074000,ok,1,no,,
HAC 20k,timed,3,875.180000,826.303000,6.035000,ok,1,no,,
