timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu0_util_pct,cpu0_freq_mhz,cpu1_util_pct,cpu1_freq_mhz,cpu2_util_pct,cpu2_freq_mhz,cpu3_util_pct,cpu3_freq_mhz,cpu4_util_pct,cpu4_freq_mhz,cpu5_util_pct,cpu5_freq_mhz,gr3d_freq_util_pct,temp_cpu_c,temp_soc2_c,temp_soc0_c,temp_gpu_c,temp_tj_c,temp_soc1_c,power_vdd_in_mw,power_vdd_cpu_gpu_cv_mw,power_vdd_soc_mw,elapsed_sec
2026-06-23T11:40:56.964378+00:00,2331,7607,751,20188,37,1344,32,1344,42,1344,4,1344,4,1113,2,1113,0,47.062,45.687,47.093,47.187,47.187,46.843,5617,921,1522,0.0
2026-06-23T11:40:58.491690+00:00,2880,7607,751,20188,30,1344,54,1344,31,1344,29,1344,35,806,35,806,5,47.281,45.718,47.062,47.218,47.281,46.875,6160,1357,1560,1.52
2026-06-23T11:41:00.016877+00:00,4164,7607,751,20188,25,1344,29,1344,86,1344,24,1344,26,729,30,729,0,47.531,45.781,47.187,47.812,47.812,46.968,6720,1597,1677,3.05
2026-06-23T11:41:01.540356+00:00,5548,7607,751,20188,5,1036,9,1036,2,1036,5,1036,100,1344,0,1344,97,48.031,46.656,47.593,49.718,49.718,47.093,15597,7584,3311,4.57
2026-06-23T11:41:03.064407+00:00,6448,7607,752,20188,4,1036,6,1036,0,1036,2,1036,100,1344,0,1344,98,48.312,47.062,47.875,50.437,50.437,47.406,16203,7846,3542,6.1
2026-06-23T11:41:04.587842+00:00,6449,7607,752,20188,0,1036,2,1036,5,1036,3,1036,63,729,0,729,99,48.531,47.593,48.375,50.187,50.187,47.812,16360,7532,3857,7.62
2026-06-23T11:41:06.109246+00:00,6450,7607,752,20188,2,1036,6,1036,0,1036,0,1036,52,1344,0,1344,98,49.437,48.0,48.75,51.218,51.218,48.093,16360,7140,4054,9.14
2026-06-23T11:41:07.633402+00:00,6450,7607,752,20188,4,1036,2,1036,0,1036,3,1036,100,1344,0,1344,98,49.625,48.281,49.125,51.625,51.625,48.468,17003,7990,3975,10.67
2026-06-23T11:41:09.156332+00:00,6451,7607,752,20188,8,729,0,1036,0,1036,3,1036,98,1344,0,1344,98,49.906,48.593,49.375,51.781,51.781,48.687,17397,8538,3929,12.19
2026-06-23T11:41:10.679036+00:00,6452,7607,752,20188,3,729,3,729,7,729,5,729,49,1113,1,1113,99,50.062,48.781,49.593,51.843,51.843,48.937,15479,6955,3824,13.71
2026-06-23T11:41:12.203464+00:00,6453,7607,752,20188,7,1036,5,1036,15,1036,5,1036,84,1344,0,1344,98,50.281,49.125,49.812,52.156,52.156,49.187,16558,7532,3975,15.24
2026-06-23T11:41:13.726692+00:00,6458,7607,752,20188,16,1113,22,1113,12,1113,20,1113,100,1344,0,1344,97,50.562,49.406,50.375,52.312,52.312,49.468,15966,7348,3778,16.76
2026-06-23T11:41:15.248895+00:00,6459,7607,752,20188,2,729,0,729,1,729,2,729,100,1344,1,1344,97,51.062,49.843,50.468,52.75,52.75,49.875,17357,8460,3929,18.28
2026-06-23T11:41:16.773070+00:00,6460,7607,752,20188,1,960,5,960,4,960,0,960,49,729,0,729,49,51.25,49.968,50.812,52.468,52.468,50.125,15400,6876,3784,19.81
2026-06-23T11:41:18.295594+00:00,6461,7607,752,20188,4,1036,2,1036,2,1036,2,1036,75,1344,0,1344,98,51.437,50.25,51.0,52.968,52.968,50.25,16636,7493,4014,21.33
2026-06-23T11:41:19.817283+00:00,6461,7607,752,20188,100,1344,4,1344,1,1344,1,1344,0,729,0,729,98,51.937,50.875,51.312,53.562,53.562,50.531,17160,8225,3968,22.85
2026-06-23T11:41:21.339378+00:00,6461,7607,752,20188,78,1344,4,1344,2,1344,1,1344,0,729,2,729,99,52.218,50.937,51.812,53.687,53.687,51.031,17515,8303,4086,24.37
2026-06-23T11:41:22.861140+00:00,6462,7607,752,20188,50,1344,0,1344,1,1344,1,1344,6,729,0,729,98,52.375,51.093,51.781,53.906,53.906,51.187,16163,6826,4132,25.89
2026-06-23T11:41:24.384210+00:00,6463,7607,752,20188,100,1344,2,1344,3,1344,1,1344,0,729,2,729,97,52.687,51.531,52.093,54.093,54.093,51.343,17003,7951,4008,27.42
2026-06-23T11:41:25.906884+00:00,6463,7607,752,20188,2,729,1,729,3,729,7,729,0,1344,100,1344,97,52.812,51.718,52.562,54.562,54.562,51.656,17475,8460,3968,28.94
2026-06-23T11:41:27.429691+00:00,6464,7607,752,20188,7,729,5,729,0,1036,2,1036,0,729,50,729,51,52.906,51.875,52.75,54.406,54.406,51.781,15597,6955,3824,30.46
2026-06-23T11:41:28.952827+00:00,6464,7607,752,20188,5,1036,1,1036,7,1036,0,1036,0,1344,74,1344,98,53.375,52.125,52.906,54.625,54.875,52.281,16794,7559,4054,31.99
