label,model,size,git_commit,git_branch,nvpmodel,wall_s,n_samples,dt_s,power_total_source,peak_power_mW,mean_power_mW,min_power_mW,energy_J,energy_Wh,peak_ram_mb,peak_swap_mb,peak_gr3d_pct,mean_gr3d_pct,command,max_temp_cpu_C,max_temp_gpu_C,max_temp_soc0_C,max_temp_soc1_C,max_temp_soc2_C,max_temp_tj_C
best_fast,fast,1k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,9.778,11,1.0,VDD_IN,15927,12881.454545454546,5056,141.696,0.03936,4803,0,99.0,72.0,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=64 -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,50.25,52.19,49.78,49.12,49.03,52.19
spec_q10_m2_brave,fast,1k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,9.154,11,1.0,VDD_IN,16518,12653.363636363636,5096,139.187,0.038663,4989,0,99.0,72.55,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=64 -o /dev/null --speculative-decode=yes --spec-repair-threshold=10 --spec-margin-threshold=2 --spec-overlap-repair=yes models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,51.44,52.88,50.88,50.09,49.97,52.88
best_fast,hac,1k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,45.817,47,1.0,VDD_IN,18272,16587.14893617021,5096,779.596,0.216554,6587,2,99.0,90.49,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=128 -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,56.53,57.69,55.81,55.03,55.19,57.69
best_fast,fast,20k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,174.218,175,1.0,VDD_IN,16019,15146.828571428572,5216,2650.695,0.736304,6863,11,99.0,92.81,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=64 -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,61.09,62.28,60.66,59.91,60.03,62.28
spec_q10_m2_brave,hac,1k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,45.372,48,1.0,VDD_IN,18076,16331.833333333334,5328,783.928,0.217758,7223,158,99.0,88.0,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=128 -o /dev/null --speculative-decode=yes --spec-repair-threshold=10 --spec-margin-threshold=2 --spec-overlap-repair=yes models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,61.66,63.03,61.28,60.34,60.59,63.03
spec_q10_m2_brave,fast,20k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,160.951,163,1.0,VDD_IN,16609,15346.067484662577,5256,2501.409,0.694836,7059,214,99.0,90.99,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=64 -o /dev/null --speculative-decode=yes --spec-repair-threshold=10 --spec-margin-threshold=2 --spec-overlap-repair=yes models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,62.34,63.19,61.69,60.88,60.97,63.19
best_fast,hac,20k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,873.884,873,1.0,VDD_IN,18408,17533.475372279496,5112,15306.724,4.251868,7433,1429,99.0,95.97,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=128 -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,64.72,66.09,64.09,63.09,63.5,66.09
spec_q10_m2_brave,hac,20k,65246f2,speculative-decode,NV Power Mode: 25W 1 ,872.306,872,1.0,VDD_IN,19113,17621.881880733945,5144,15366.281,4.268411,7486,1636,99.0,96.16,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 --overlap-decode=yes --fixed-c-batch=no --flush-threshold=128 -o /dev/null --speculative-decode=yes --spec-repair-threshold=10 --spec-margin-threshold=2 --spec-overlap-repair=yes models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,65.0,66.06,64.16,63.19,63.56,66.06
