08-11-2026 15:24:42 RAM 6189/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [4%@729,2%@729,1%@729,11%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.375C soc2@59.625C soc0@60.468C gpu@61.593C tj@61.593C soc1@59.531C VDD_IN 16098mW/12812mW VDD_CPU_GPU_CV 6854mW/5055mW VDD_SOC 4126mW/3239mW
08-11-2026 15:24:43 RAM 6188/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [17%@729,4%@729,2%@729,4%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.562C soc2@59.656C soc0@60.468C gpu@61.687C tj@61.687C soc1@59.562C VDD_IN 16176mW/13010mW VDD_CPU_GPU_CV 6893mW/5163mW VDD_SOC 4165mW/3293mW
08-11-2026 15:24:44 RAM 6191/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [14%@729,1%@729,2%@729,3%@729,2%@729,0%@729] GR3D_FREQ 99% cpu@60.718C soc2@59.718C soc0@60.375C gpu@62C tj@62C soc1@59.593C VDD_IN 16176mW/13186mW VDD_CPU_GPU_CV 6904mW/5259mW VDD_SOC 4086mW/3337mW
08-11-2026 15:24:45 RAM 6194/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [15%@729,2%@729,11%@729,18%@729,2%@729,1%@729] GR3D_FREQ 99% cpu@60.656C soc2@59.75C soc0@60.312C gpu@61.968C tj@61.968C soc1@59.625C VDD_IN 16255mW/13347mW VDD_CPU_GPU_CV 6971mW/5349mW VDD_SOC 4126mW/3379mW
08-11-2026 15:24:46 RAM 6251/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,2%@729,2%@729,17%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.843C soc2@59.75C soc0@60.468C gpu@61.875C tj@61.875C soc1@59.687C VDD_IN 15769mW/13468mW VDD_CPU_GPU_CV 6669mW/5415mW VDD_SOC 4054mW/3413mW
08-11-2026 15:24:47 RAM 6253/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,1%@729,2%@729,14%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.531C soc2@59.875C soc0@60.656C gpu@62.187C tj@62.187C soc1@59.687C VDD_IN 16176mW/13597mW VDD_CPU_GPU_CV 6893mW/5486mW VDD_SOC 4126mW/3447mW
08-11-2026 15:24:48 RAM 6256/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [6%@1344,2%@1344,0%@1344,9%@1344,0%@729,2%@729] GR3D_FREQ 99% cpu@60.593C soc2@59.718C soc0@60.562C gpu@62.031C tj@62.031C soc1@59.687C VDD_IN 16019mW/13707mW VDD_CPU_GPU_CV 6787mW/5545mW VDD_SOC 4132mW/3478mW
08-11-2026 15:24:49 RAM 6259/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [4%@729,3%@729,1%@729,10%@729,1%@729,0%@729] GR3D_FREQ 99% cpu@60.937C soc2@59.75C soc0@60.531C gpu@61.875C tj@61.875C soc1@59.687C VDD_IN 16058mW/13810mW VDD_CPU_GPU_CV 6865mW/5602mW VDD_SOC 4126mW/3506mW
08-11-2026 15:24:50 RAM 6265/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [9%@729,6%@729,3%@729,13%@729,19%@729,3%@729] GR3D_FREQ 99% cpu@60.75C soc2@59.875C soc0@60.593C gpu@62.062C tj@62.062C soc1@59.75C VDD_IN 16216mW/13910mW VDD_CPU_GPU_CV 6971mW/5659mW VDD_SOC 4126mW/3532mW
08-11-2026 15:24:51 RAM 6266/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [11%@729,2%@729,1%@729,5%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.968C soc2@59.906C soc0@60.625C gpu@61.656C tj@61.656C soc1@59.875C VDD_IN 15809mW/13986mW VDD_CPU_GPU_CV 6669mW/5700mW VDD_SOC 4054mW/3553mW
08-11-2026 15:24:52 RAM 6268/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [1%@729,2%@729,1%@729,14%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.531C soc2@59.937C soc0@60.718C gpu@61.843C tj@61.843C soc1@59.812C VDD_IN 15651mW/14050mW VDD_CPU_GPU_CV 6590mW/5734mW VDD_SOC 4014mW/3570mW
08-11-2026 15:24:53 RAM 6271/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,2%@729,1%@729,15%@729,0%@729,2%@729] GR3D_FREQ 99% cpu@60.656C soc2@59.843C soc0@60.593C gpu@61.937C tj@61.937C soc1@59.843C VDD_IN 15651mW/14109mW VDD_CPU_GPU_CV 6551mW/5764mW VDD_SOC 4054mW/3588mW
08-11-2026 15:24:54 RAM 6273/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [3%@729,1%@729,1%@729,15%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@61.062C soc2@59.843C soc0@60.593C gpu@61.687C tj@61.687C soc1@59.843C VDD_IN 15887mW/14173mW VDD_CPU_GPU_CV 6708mW/5798mW VDD_SOC 4093mW/3606mW
08-11-2026 15:24:55 RAM 6335/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [9%@729,5%@729,17%@729,17%@729,4%@729,1%@729] GR3D_FREQ 99% cpu@60.75C soc2@59.937C soc0@60.656C gpu@61.875C tj@61.875C soc1@59.937C VDD_IN 16216mW/14243mW VDD_CPU_GPU_CV 6971mW/5838mW VDD_SOC 4126mW/3624mW
08-11-2026 15:24:56 RAM 6338/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [3%@729,2%@729,2%@729,15%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.812C soc2@59.968C soc0@60.718C gpu@61.875C tj@61.875C soc1@59.812C VDD_IN 16058mW/14304mW VDD_CPU_GPU_CV 6826mW/5871mW VDD_SOC 4126mW/3641mW
08-11-2026 15:24:57 RAM 6341/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [1%@729,2%@729,1%@729,15%@729,1%@729,1%@729] GR3D_FREQ 99% cpu@60.843C soc2@60.093C soc0@60.906C gpu@61.937C tj@61.937C soc1@59.906C VDD_IN 16137mW/14363mW VDD_CPU_GPU_CV 6854mW/5903mW VDD_SOC 4126mW/3657mW
08-11-2026 15:24:58 RAM 6344/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [0%@729,2%@729,2%@729,15%@729,1%@729,1%@729] GR3D_FREQ 99% cpu@60.937C soc2@59.906C soc0@60.687C gpu@62C tj@62C soc1@59.906C VDD_IN 16176mW/14419mW VDD_CPU_GPU_CV 6865mW/5933mW VDD_SOC 4165mW/3673mW
