08-11-2026 17:35:46 RAM 5696/7607MB (lfb 6x2MB) SWAP 1416/16384MB (cached 142MB) CPU [3%@729,4%@729,7%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.531C soc2@57.531C soc0@58.281C gpu@59.875C tj@59.875C soc1@57.562C VDD_IN 15533mW/12656mW VDD_CPU_GPU_CV 6758mW/5107mW VDD_SOC 3896mW/3132mW
08-11-2026 17:35:47 RAM 5698/7607MB (lfb 5x2MB) SWAP 1416/16384MB (cached 142MB) CPU [0%@729,10%@729,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.687C soc2@57.687C soc0@58.437C gpu@60.062C tj@60.062C soc1@57.687C VDD_IN 15611mW/12829mW VDD_CPU_GPU_CV 6747mW/5204mW VDD_SOC 3896mW/3177mW
08-11-2026 17:35:48 RAM 5700/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [3%@729,10%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.687C soc2@57.718C soc0@58.406C gpu@59.968C tj@59.968C soc1@57.718C VDD_IN 15690mW/12988mW VDD_CPU_GPU_CV 6787mW/5292mW VDD_SOC 3975mW/3221mW
08-11-2026 17:35:49 RAM 5703/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [13%@729,14%@729,8%@729,8%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.5C soc2@57.75C soc0@58.562C gpu@60.187C tj@60.187C soc1@57.656C VDD_IN 15690mW/13131mW VDD_CPU_GPU_CV 6787mW/5370mW VDD_SOC 3936mW/3259mW
08-11-2026 17:35:50 RAM 5705/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [11%@729,1%@729,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.593C soc2@57.781C soc0@58.718C gpu@59.656C tj@59.656C soc1@57.812C VDD_IN 15533mW/13251mW VDD_CPU_GPU_CV 6719mW/5438mW VDD_SOC 3936mW/3293mW
08-11-2026 17:35:51 RAM 5708/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [11%@729,1%@729,2%@729,2%@729,1%@729,0%@729] GR3D_FREQ 99% cpu@58.875C soc2@57.75C soc0@58.593C gpu@59.75C tj@59.75C soc1@57.906C VDD_IN 15611mW/13363mW VDD_CPU_GPU_CV 6708mW/5498mW VDD_SOC 3936mW/3323mW
08-11-2026 17:35:52 RAM 5710/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [8%@729,2%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@59.031C soc2@57.875C soc0@58.687C gpu@59.968C tj@59.968C soc1@57.968C VDD_IN 15611mW/13465mW VDD_CPU_GPU_CV 6747mW/5555mW VDD_SOC 3896mW/3349mW
08-11-2026 17:35:53 RAM 5712/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [12%@729,1%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.906C soc2@57.843C soc0@58.75C gpu@60.125C tj@60.125C soc1@57.937C VDD_IN 15533mW/13555mW VDD_CPU_GPU_CV 6719mW/5606mW VDD_SOC 3896mW/3373mW
08-11-2026 17:35:54 RAM 5713/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [12%@729,3%@729,10%@729,17%@729,2%@729,1%@729] GR3D_FREQ 99% cpu@58.718C soc2@58.031C soc0@58.781C gpu@60.187C tj@60.187C soc1@58.062C VDD_IN 15730mW/13646mW VDD_CPU_GPU_CV 6865mW/5658mW VDD_SOC 3936mW/3397mW
08-11-2026 17:35:55 RAM 5713/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [0%@729,3%@729,8%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.875C soc2@58.031C soc0@58.875C gpu@60.093C tj@60.093C soc1@57.968C VDD_IN 15611mW/13724mW VDD_CPU_GPU_CV 6747mW/5702mW VDD_SOC 3936mW/3418mW
08-11-2026 17:35:56 RAM 5713/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [1%@729,2%@729,10%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@58.937C soc2@58.062C soc0@58.718C gpu@60.156C tj@60.156C soc1@58C VDD_IN 15611mW/13797mW VDD_CPU_GPU_CV 6747mW/5742mW VDD_SOC 3936mW/3438mW
08-11-2026 17:35:57 RAM 5716/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [2%@729,2%@729,9%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@59.25C soc2@58.125C soc0@58.843C gpu@59.968C tj@59.968C soc1@58.031C VDD_IN 15651mW/13866mW VDD_CPU_GPU_CV 6747mW/5779mW VDD_SOC 3936mW/3457mW
08-11-2026 17:35:58 RAM 5718/7607MB (lfb 4x2MB) SWAP 1416/16384MB (cached 142MB) CPU [0%@729,3%@729,8%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@59.093C soc2@58.156C soc0@58.937C gpu@59.875C tj@59.875C soc1@58.281C VDD_IN 15533mW/13925mW VDD_CPU_GPU_CV 6680mW/5811mW VDD_SOC 3896mW/3472mW
