timestamp,stamp,fastq,tag,model,size,speculative,q_thr,margin_thr,brave,real_s_time,real_s_keep,alpha,repaired,drafted,n_reads,n_alignments,median_identity,map_pct,delta_vs_baseline
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_1k_baseline.fastq,baseline,hac,1k,no,,,no,45.305,44.991,,,,1000,1105,0.976852,110.50,
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_1k_q10_m2.fastq,q10_m2,hac,1k,yes,10,2,no,44.639,44.581,0.829,873,5100,1000,1102,0.975572,110.20,-0.001279
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_1k_q10_m2_brave.fastq,q10_m2_brave,hac,1k,yes,10,2,yes,44.593,44.510,0.827,881,5100,1000,1105,0.975490,110.50,-0.001362
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_1k_q10_m3_brave.fastq,q10_m3_brave,hac,1k,yes,10,3,yes,44.982,45.004,0.709,1485,5100,1000,1112,0.975285,111.20,-0.001566
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_20k_baseline.fastq,baseline,hac,20k,no,,,no,871.297,871.649,,,,20000,22274,0.977333,111.37,
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_20k_q10_m2.fastq,q10_m2,hac,20k,yes,10,2,no,867.465,867.412,0.809,19474,102089,20000,22243,0.975527,111.22,-0.001806
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_20k_q10_m2_brave.fastq,q10_m2_brave,hac,20k,yes,10,2,yes,866.079,868.746,0.809,19517,102089,20000,22255,0.975516,111.28,-0.001817
2026-08-02T14:19:20Z,20260802T121510Z,output_hac_20k_q10_m3_brave.fastq,q10_m3_brave,hac,20k,yes,10,3,yes,880.197,877.863,0.674,33235,102089,20000,22278,0.975606,111.39,-0.001727
