read_id	mean_q	model
7d8e83c8-afd3-4849-a40c-f56b598f4c43	5.996	hac
b429e105-2b34-476b-924d-3e1c7a1f460e	9.798	hac
83c133a7-b534-4150-bbda-770b2fce2da5	8.946	hac
cb98b235-a5fa-4364-a4a0-54bdcff6eac1	7.764	hac
f924bfb2-1eef-4648-a244-f861934780a8	18.943	fast
bbf7756c-fb74-4ff9-8f3c-26e7f512912b	13.896	fast
0b635754-a969-4cc2-9b81-7928c0d339f5	21.414	fast
b772589c-3273-4d33-81a7-122684d43de3	26.132	fast
a0e9fb49-4313-4618-a8fb-72da6f87331d	25.266	fast
e36fd208-212e-4166-b7c1-a047ebfccc67	16.542	fast
b60f6d95-66ac-4047-aac1-117cf926642e	11.236	fast
11a586ff-0e37-4a82-9f25-d7d1f7479961	24.194	fast
55cc8d9c-9dfe-4ca9-8814-a3795d3dadfc	9.365	hac
7b27759d-7a99-4d82-bb22-34d152927121	22.773	fast
3a9f35a4-e260-462f-8e48-a1ce22bc72f7	21.282	fast
871ff7a5-7906-4a37-897c-df1f8dd258e4	8.221	hac
a0b21169-a313-4c98-bd6a-fc99a2876a63	11.286	fast
6d8afe54-b2c7-4972-9a4d-aeb5d7f7b85f	23.463	fast
7fc2a9e8-671a-41d9-89d9-2ed65b4aeb2d	22.616	fast
50d42f14-b348-46e8-a141-1c778492e99c	25.478	fast
f6b9d1ff-435e-4a3c-8bbd-3ba0f36db450	23.993	fast
45b94bbd-3f05-40bc-98b2-e22bee204c10	20.141	fast
25bd9e21-ed90-46f6-bf98-fffe8d59e125	26.067	fast
bc74e9bb-9c0a-4bd7-b61b-9c4951bf2be0	20.224	fast
92a132ec-8914-4e36-a9f0-f2dcef9b0832	21.197	fast
d8cf1c1f-56d9-4732-a00d-24e9b89d9aad	24.341	fast
60a9b06c-6375-458a-b20e-f62b0e1534d5	23.336	fast
ada981f6-08bb-41f9-afec-075ee7144817	9.233	hac
90f857b8-540c-41fb-ab4e-7966b3b1f625	21.438	fast
083bb556-e817-42c2-bfbd-4cd7fd704d58	8.580	hac
5cf6f0a8-dc77-4f6a-8b1c-deebe7120227	22.501	fast
4c3af659-69d3-4443-9fd5-6f06f6c8e219	9.266	hac
f9ff6359-0b1b-46a3-87db-5290a0b20cfe	22.712	fast
e8cddd26-0b33-4d79-8331-28f1dcf62914	24.158	fast
cc6cf54c-d523-4eab-831f-05d48b56c152	8.322	hac
425b9c22-4c24-42ab-9de4-81c2da30d648	11.155	fast
e9ddac93-f33e-49d3-97b3-f31df82f071c	10.839	fast
b571c57f-1fd0-416b-b7e0-e042fe5e6bd4	16.164	fast
062aeba3-36ca-44ff-88c3-a9d259dec454	16.572	fast
81f84156-667d-48c9-bdd7-d648189dcbca	24.332	fast
aac5351f-4472-48df-a6ed-771d1386f53d	10.766	fast
9f9b9c6b-4431-480c-bd93-93b23222c270	14.823	fast
3f10e7dd-9d7e-4897-87bf-f8b0f3aec2d1	8.193	hac
