stamp,size,threshold,rep,tag,real_s,cpu_s,proc_s,peak_ram_gb,wall_s,kept_fast,promoted_hac,pct_hac,fastq,cascade_tsv,console,exit_code
20260731T040555Z,1k,13,3,cascade_1k_thr13_r03,20.572,14.198,20.292,3.12,21.596,783,217,21.7,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr13_r03.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr13_r03.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr13_r03.txt,0
20260731T040555Z,1k,14,1,cascade_1k_thr14_r01,21.097,14.666,20.814,3.119,22.130,770,230,23.0,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr14_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr14_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr14_r01.txt,0
20260731T040555Z,1k,14,2,cascade_1k_thr14_r02,21.139,14.758,20.843,3.12,22.153,770,230,23.0,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr14_r02.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr14_r02.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr14_r02.txt,0
20260731T040555Z,1k,14,3,cascade_1k_thr14_r03,21.128,14.757,20.833,3.102,22.165,770,230,23.0,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr14_r03.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr14_r03.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr14_r03.txt,0
20260731T040555Z,20k,8,1,cascade_20k_thr08_r01,,,,,195.601,,,,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr08_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr08_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr08_r01.txt,-6
20260731T040555Z,20k,9,1,cascade_20k_thr09_r01,,,,,283.898,,,,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr09_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr09_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr09_r01.txt,-6
20260731T040555Z,20k,10,1,cascade_20k_thr10_r01,348.915,201.321,345.511,6.098,351.466,16544,3456,17.3,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr10_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr10_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr10_r01.txt,0
20260731T040555Z,20k,11,1,cascade_20k_thr11_r01,370.11,221.019,366.584,6.146,372.527,16081,3919,19.6,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr11_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr11_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr11_r01.txt,0
20260731T040555Z,20k,12,1,cascade_20k_thr12_r01,381.233,231.083,377.804,6.085,383.655,15800,4200,21.0,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr12_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr12_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr12_r01.txt,0
20260731T040555Z,20k,13,1,cascade_20k_thr13_r01,392.636,241.976,389.254,6.144,395.097,15551,4449,22.2,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr13_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr13_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr13_r01.txt,0
20260731T040555Z,20k,14,1,cascade_20k_thr14_r01,,,,,365.218,,,,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_20k_thr14_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_20k_thr14_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_20k_thr14_r01.txt,-6
