08-11-2026 17:34:51 RAM 5325/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,2%@729,4%@729,1%@729,91%@1344,0%@1344] GR3D_FREQ 98% cpu@57.781C soc2@56.593C soc0@57.218C gpu@59.093C tj@59.093C soc1@56.468C VDD_IN 17643mW/15164mW VDD_CPU_GPU_CV 8681mW/6914mW VDD_SOC 3890mW/3473mW
08-11-2026 17:34:52 RAM 5325/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [2%@729,1%@729,3%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@57.562C soc2@56.656C soc0@57.281C gpu@59.218C tj@59.218C soc1@56.625C VDD_IN 17604mW/15308mW VDD_CPU_GPU_CV 8681mW/7018mW VDD_SOC 3890mW/3497mW
08-11-2026 17:34:53 RAM 5326/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@1113,2%@1113,2%@1113,1%@1113,92%@1344,0%@1344] GR3D_FREQ 97% cpu@57.625C soc2@56.781C soc0@57.531C gpu@59.062C tj@59.062C soc1@56.5C VDD_IN 17604mW/15436mW VDD_CPU_GPU_CV 8602mW/7106mW VDD_SOC 3929mW/3521mW
08-11-2026 17:34:54 RAM 5326/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,2%@729,2%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@57.812C soc2@56.843C soc0@57.656C gpu@59.156C tj@59.156C soc1@56.656C VDD_IN 17643mW/15552mW VDD_CPU_GPU_CV 8602mW/7184mW VDD_SOC 3929mW/3543mW
08-11-2026 17:34:55 RAM 5326/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [4%@1344,2%@1344,2%@1344,2%@1344,93%@1344,0%@1344] GR3D_FREQ 97% cpu@58.312C soc2@56.937C soc0@57.718C gpu@59.593C tj@59.593C soc1@56.843C VDD_IN 17604mW/15654mW VDD_CPU_GPU_CV 8524mW/7251mW VDD_SOC 3968mW/3564mW
08-11-2026 17:34:56 RAM 5327/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [8%@1113,12%@1113,13%@1113,3%@1113,92%@1344,0%@1344] GR3D_FREQ 97% cpu@58.218C soc2@57.093C soc0@57.75C gpu@59.562C tj@59.562C soc1@57C VDD_IN 17643mW/15749mW VDD_CPU_GPU_CV 8446mW/7308mW VDD_SOC 4001mW/3585mW
08-11-2026 17:34:57 RAM 5328/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [4%@729,1%@729,3%@729,3%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@58.25C soc2@57.187C soc0@57.875C gpu@59.718C tj@59.718C soc1@56.937C VDD_IN 17565mW/15832mW VDD_CPU_GPU_CV 8329mW/7355mW VDD_SOC 4047mW/3606mW
08-11-2026 17:34:58 RAM 5328/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [2%@729,2%@729,3%@729,2%@729,92%@1344,1%@1344] GR3D_FREQ 98% cpu@58.312C soc2@57.187C soc0@57.937C gpu@59.406C tj@59.406C soc1@57C VDD_IN 17486mW/15904mW VDD_CPU_GPU_CV 8133mW/7389mW VDD_SOC 4086mW/3627mW
08-11-2026 17:34:59 RAM 5329/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [4%@1344,3%@1344,2%@1344,2%@1344,93%@1344,0%@1344] GR3D_FREQ 97% cpu@58.5C soc2@57.343C soc0@58C gpu@59.375C tj@59.375C soc1@57.187C VDD_IN 17475mW/15969mW VDD_CPU_GPU_CV 8055mW/7416mW VDD_SOC 4126mW/3648mW
08-11-2026 17:35:00 RAM 5329/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [1%@729,6%@729,2%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@58.718C soc2@57.343C soc0@58.093C gpu@59.437C tj@59.437C soc1@57.437C VDD_IN 17397mW/16026mW VDD_CPU_GPU_CV 7794mW/7431mW VDD_SOC 4165mW/3668mW
