label,model,size,git_commit,git_branch,nvpmodel,wall_s,n_samples,dt_s,power_total_source,peak_power_mW,mean_power_mW,min_power_mW,energy_J,energy_Wh,peak_ram_mb,peak_swap_mb,peak_gr3d_pct,mean_gr3d_pct,command,max_temp_cpu_C,max_temp_gpu_C,max_temp_soc0_C,max_temp_soc1_C,max_temp_soc2_C,max_temp_tj_C
pre_overlap,fast,1k,8873209,HEAD,NV Power Mode: 25W 1 ,12.974,16,1.0,VDD_IN,14357,11051.1875,5377,176.819,0.049116,3342,1555,99.0,67.69,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,51.31,52.69,50.97,50.31,50.09,52.69
pre_overlap,hac,1k,8873209,HEAD,NV Power Mode: 25W 1 ,48.559,50,1.0,VDD_IN,17526,16042.2,5064,802.11,0.222808,5109,1543,99.0,90.96,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_1k.blow5 ,57.75,58.5,57.09,56.16,56.28,58.5
pre_overlap,fast,20k,8873209,HEAD,NV Power Mode: 25W 1 ,217.121,218,1.0,VDD_IN,14571,13674.830275229358,5104,2981.113,0.828087,5418,1524,99.0,89.07,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 -o /dev/null models/dna_r10.4.1_e8.2_400bps_fast@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,59.5,60.31,59.16,58.44,58.22,60.31
pre_overlap,hac,20k,8873209,HEAD,NV Power Mode: 25W 1 ,934.324,932,1.0,VDD_IN,18242,17001.079399141632,5144,15845.006,4.401391,7158,1498,99.0,95.8,./slorado basecaller -C 128 -c 12288 -K 4096 -p 150 -o /dev/null models/dna_r10.4.1_e8.2_400bps_hac@v5.0.0 test/PGXXXX230339/reads_20k.blow5 ,63.56,65.0,63.16,62.16,62.44,65.0
